Character,Season,Day,Weather,CC_Completed,BFF_6PlusHearts,Spouse,Start,End,Location
Elliott,Summer,Monday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Monday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Friday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Friday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Friday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Friday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Monday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Monday,Nice,Yes,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Monday,Nice,Yes,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Monday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Monday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Monday,Nice,No,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Monday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Monday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Monday,Nice,Yes,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Monday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Monday,Nice,No,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Monday,Nice,No,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Tuesday,Nice,Yes,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Tuesday,Nice,Yes,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Tuesday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Tuesday,Nice,No,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Tuesday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Tuesday,Nice,Yes,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Tuesday,Nice,No,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Tuesday,Nice,No,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Wednesday,Nice,Yes,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Wednesday,Nice,Yes,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Wednesday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Wednesday,Nice,No,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Wednesday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Wednesday,Nice,Yes,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Wednesday,Nice,No,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Wednesday,Nice,No,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Thursday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 17:30,General Store
Elliott,Summer,Thursday,Nice,No,Yes,No,1/1/2000 17:30,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Thursday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 17:30,General Store
Elliott,Summer,Thursday,Nice,Yes,Yes,No,1/1/2000 17:30,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Thursday,Nice,Yes,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Thursday,Nice,Yes,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Thursday,Nice,No,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Thursday,Nice,No,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Friday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Friday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 17:30,General Store
Elliott,Summer,Friday,Nice,No,Yes,No,1/1/2000 17:30,1/2/2000 0:00,Home
Elliott,Summer,Friday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Friday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 17:30,General Store
Elliott,Summer,Friday,Nice,Yes,Yes,No,1/1/2000 17:30,1/2/2000 0:00,Home
Elliott,Summer,Friday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:00,Home
Elliott,Summer,Friday,Nice,Yes,No,No,1/1/2000 11:00,1/1/2000 17:00,Beach
Elliott,Summer,Friday,Nice,Yes,No,No,1/1/2000 17:00,1/1/2000 23:40,Saloon
Elliott,Summer,Friday,Nice,Yes,No,No,1/1/2000 23:40,1/2/2000 0:00,Home
Elliott,Summer,Friday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:00,Home
Elliott,Summer,Friday,Nice,No,No,No,1/1/2000 11:00,1/1/2000 17:00,Beach
Elliott,Summer,Friday,Nice,No,No,No,1/1/2000 17:00,1/1/2000 23:40,Saloon
Elliott,Summer,Friday,Nice,No,No,No,1/1/2000 23:40,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Saturday,Nice,Yes,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Saturday,Nice,Yes,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Saturday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Saturday,Nice,No,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Saturday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Saturday,Nice,Yes,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Saturday,Nice,No,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Saturday,Nice,No,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Sunday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Sunday,Nice,No,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Summer,Sunday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Summer,Sunday,Nice,Yes,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:00,Home
Elliott,Summer,Sunday,Nice,Yes,No,No,1/1/2000 11:00,1/1/2000 17:00,Beach
Elliott,Summer,Sunday,Nice,Yes,No,No,1/1/2000 17:00,1/1/2000 23:40,Saloon
Elliott,Summer,Sunday,Nice,Yes,No,No,1/1/2000 23:40,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:00,Home
Elliott,Summer,Sunday,Nice,No,No,No,1/1/2000 11:00,1/1/2000 17:00,Beach
Elliott,Summer,Sunday,Nice,No,No,No,1/1/2000 17:00,1/1/2000 23:40,Saloon
Elliott,Summer,Sunday,Nice,No,No,No,1/1/2000 23:40,1/2/2000 0:00,Home
Elliott,Fall,Monday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Friday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Friday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Friday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Friday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Saturday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Saturday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Saturday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Saturday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Sunday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Sunday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Sunday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Sunday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Friday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Friday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Friday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Friday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Saturday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Saturday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Saturday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Saturday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Sunday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Sunday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Sunday,Raining,Yes,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Sunday,Raining,No,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Monday,Nice,Yes,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Monday,Nice,Yes,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Monday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Monday,Nice,No,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Monday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Monday,Nice,Yes,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Monday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Monday,Nice,No,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Monday,Nice,No,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Tuesday,Nice,Yes,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Tuesday,Nice,Yes,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Tuesday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Tuesday,Nice,No,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Tuesday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Tuesday,Nice,Yes,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Tuesday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Tuesday,Nice,No,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Tuesday,Nice,No,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Wednesday,Nice,Yes,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Wednesday,Nice,Yes,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Wednesday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Wednesday,Nice,No,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Wednesday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Wednesday,Nice,Yes,Yes,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Wednesday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Wednesday,Nice,No,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Wednesday,Nice,No,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Thursday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 17:30,General Store
Elliott,Fall,Thursday,Nice,No,Yes,No,1/1/2000 17:30,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Thursday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 17:30,General Store
Elliott,Fall,Thursday,Nice,Yes,Yes,No,1/1/2000 17:30,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Thursday,Nice,Yes,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Thursday,Nice,Yes,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Thursday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Thursday,Nice,No,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Thursday,Nice,No,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Friday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Friday,Nice,No,Yes,No,1/1/2000 11:30,1/1/2000 17:30,General Store
Elliott,Fall,Friday,Nice,No,Yes,No,1/1/2000 17:30,1/2/2000 0:00,Home
Elliott,Fall,Friday,Nice,Yes,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Friday,Nice,Yes,Yes,No,1/1/2000 11:30,1/1/2000 17:30,General Store
Elliott,Fall,Friday,Nice,Yes,Yes,No,1/1/2000 17:30,1/2/2000 0:00,Home
Elliott,Fall,Friday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:00,Home
Elliott,Fall,Friday,Nice,Yes,No,No,1/1/2000 11:00,1/1/2000 17:00,Beach
Elliott,Fall,Friday,Nice,Yes,No,No,1/1/2000 17:00,1/1/2000 23:40,Saloon
Elliott,Fall,Friday,Nice,Yes,No,No,1/1/2000 23:40,1/2/2000 0:00,Home
Elliott,Fall,Friday,Nice,No,No,No,1/1/2000 6:00,1/1/2000 11:00,Home
Elliott,Fall,Friday,Nice,No,No,No,1/1/2000 11:00,1/1/2000 17:00,Beach
Elliott,Fall,Friday,Nice,No,No,No,1/1/2000 17:00,1/1/2000 23:40,Saloon
Elliott,Fall,Friday,Nice,No,No,No,1/1/2000 23:40,1/2/2000 0:00,Home
Elliott,Fall,Saturday,Nice,Yes,No,No,1/1/2000 6:00,1/1/2000 11:30,Home
Elliott,Fall,Saturday,Nice,Yes,No,No,1/1/2000 11:30,1/1/2000 18:00,Cindersap Forest
Elliott,Fall,Saturday,Nice,Yes,No,No,1/1/2000 18:00,1/2/2000 0:00,Home
Elliott,Fall,Saturday,Nice,No,Yes,No,1/1/2000 6:00,1/1/2000 11:30,Home
