Level2,Level3,Level4
Pantry,Animal Bundle (5/6),Large Egg (white)
Pantry,Animal Bundle (5/6),Large Goat Milk
Pantry,Animal Bundle (5/6),Wool
Pantry,Animal Bundle (5/6),Duck Egg
Pantry,Artisan Bundle (6/12),Truffle Oil
Pantry,Artisan Bundle (6/12),Cloth
Pantry,Artisan Bundle (6/12),Goat Cheese
Pantry,Artisan Bundle (6/12),Cheese
Pantry,Artisan Bundle (6/12),Honey
Pantry,Artisan Bundle (6/12),Jelly
Pantry,Artisan Bundle (6/12),Apple
Pantry,Artisan Bundle (6/12),Apricot
Pantry,Artisan Bundle (6/12),Orange
Pantry,Artisan Bundle (6/12),Peach
Pantry,Artisan Bundle (6/12),Pomegranate
Pantry,Artisan Bundle (6/12),Cherry
Fish Tank,River Fish Bundle,Sunfish
Fish Tank,River Fish Bundle,Catfish
Fish Tank,River Fish Bundle,Shad
Fish Tank,River Fish Bundle,Tiger Trout
Fish Tank,Lake Fish Bundle,Largemount Bass
Fish Tank,Lake Fish Bundle,Carp
Fish Tank,Lake Fish Bundle,Bullhead
Fish Tank,Lake Fish Bundle,Sturgeon
Fish Tank,Ocean Fish Bundle,Sardine
Fish Tank,Ocean Fish Bundle,Tuna
Fish Tank,Ocean Fish Bundle,Red Snapper
Fish Tank,Ocean Fish Bundle,Tilapia
Fish Tank,Night Fishing Bundle,Walleye
Fish Tank,Night Fishing Bundle,Bream
Fish Tank,Night Fishing Bundle,Eel
Fish Tank,Crab Pot Bundle (5/10),Lobster
Fish Tank,Crab Pot Bundle (5/10),Crayfish
Fish Tank,Crab Pot Bundle (5/10),Crab
Fish Tank,Crab Pot Bundle (5/10),Cockle
Fish Tank,Crab Pot Bundle (5/10),Mussel
Fish Tank,Crab Pot Bundle (5/10),Shrimp
Fish Tank,Crab Pot Bundle (5/10),Snail
Fish Tank,Crab Pot Bundle (5/10),Periwinkle
Fish Tank,Crab Pot Bundle (5/10),Oyster
Fish Tank,Crab Pot Bundle (5/10),Clam
Fish Tank,Specialty Fish Bundle,Pufferfish
Fish Tank,Specialty Fish Bundle,Ghostfish
Fish Tank,Specialty Fish Bundle,Sandfish
Fish Tank,Specialty Fish Bundle,Woodskip
Boiler Room,Blacksmith's Bundle,Copper Bar
Boiler Room,Blacksmith's Bundle,Iron Bar
Boiler Room,Blacksmith's Bundle,Gold Bar
Boiler Room,Geologist's Bundle,Quartz
Boiler Room,Geologist's Bundle,Earth Crystal
Boiler Room,Geologist's Bundle,Frozen Tear
Boiler Room,Geologist's Bundle,Fire Quartz
Boiler Room,Adventurer's Bundle (2/4),Slime
Boiler Room,Adventurer's Bundle (2/4),Bat Wing
Boiler Room,Adventurer's Bundle (2/4),Solar Essence
Boiler Room,Adventurer's Bundle (2/4),Void Essence
Bulletin Board,Chef's Bundle,Maple Syrup
Bulletin Board,Chef's Bundle,Fiddlehead Fern
Bulletin Board,Chef's Bundle,Truffle
Bulletin Board,Chef's Bundle,Poppy
Bulletin Board,Chef's Bundle,Maki Roll
Bulletin Board,Chef's Bundle,Fried Egg
Bulletin Board,Dye Bundle,Red Mushroom
Bulletin Board,Dye Bundle,Sea Urchin
Bulletin Board,Dye Bundle,Sunflower
Bulletin Board,Dye Bundle,Duck Feather
Bulletin Board,Dye Bundle,Aquamarine
Bulletin Board,Dye Bundle,Red Cabbage
Bulletin Board,Field Research Bundle,Purple Mushroom
Bulletin Board,Field Research Bundle,Nautilus Shell
Bulletin Board,Field Research Bundle,Chub
Bulletin Board,Field Research Bundle,Frozen Geode
Bulletin Board,Fodder Bundle,Wheat
Bulletin Board,Fodder Bundle,Hay
Bulletin Board,Fodder Bundle,Apple
Bulletin Board,Enchanter's Bundle,Oak Resin
Bulletin Board,Enchanter's Bundle,Wine
Bulletin Board,Enchanter's Bundle,Rabbit's Foot
Bulletin Board,Enchanter's Bundle,Pomegranate
Vault,"2,500 Bundle","2,500g"
Vault,"5,000 Bundle","5,000g"
Vault,"10,000 Bundle","10,000g"
Vault,"25,000 Bundle","25,000g"
